network,station,channel
SS,15636,DP1
SS,17683,DPZ
SS,09448,DPZ
SS,16798,DP1
SS,10406,DP1
SS,16490,DPZ
SS,10421,DP2
SS,17809,DP2
SS,16006,DPZ
SS,10845,DP2
SS,18531,DP1
SS,19267,DPZ
SS,10867,DP2
SS,03659,DPZ
SS,10813,DP1
SS,16006,DP2
SS,17373,DPZ
SS,20247,DP1
SS,10705,DPZ
SS,09332,DP2
SS,14625,DP1
SS,15678,DP1
SS,15907,DP2
SS,16788,DPZ
SS,17534,DP2
SS,18365,DPZ
SS,17877,DPZ
SS,17930,DP2
SS,10197,DP2
SS,18531,DPZ
SS,10893,DPZ
SS,15967,DP1
SS,14764,DP2
SS,04275,DPZ
SS,17809,DP1
SS,10409,DP1
SS,20247,DPZ
SS,16870,DP2
SS,14578,DP1
SS,10199,DP2
SS,10409,DP1
SS,08825,DPZ
SS,10373,DP1
SS,10591,DP1
SS,17024,DP2
SS,10485,DPZ
SS,15730,DP1
SS,15016,DP1
SS,04916,DPZ
SS,10215,DP2
SS,07499,DPZ
SS,04973,DP2
SS,10759,DP2
SS,18042,DP2
SS,10181,DP2
SS,17544,DP2
SS,15576,DP1
SS,10181,DP2
SS,10737,DP2
SS,04548,DP1
SS,15562,DP1
SS,10524,DP2
SS,10753,DP2
SS,15907,DPZ
SS,18940,DP2
SS,17940,DP1
SS,10386,DP1
SS,15604,DP1
SS,10421,DP2
SS,14564,DP2
SS,14411,DPZ
SS,18536,DP2
SS,17544,DPZ
SS,18042,DPZ
SS,16793,DP2
SS,10935,DPZ
SS,15007,DP1
SS,10278,DPZ
SS,15869,DP1
SS,15427,DPZ
SS,10509,DPZ
SS,09448,DPZ
SS,18042,DP1
SS,14938,DP2
SS,14537,DP2
SS,17273,DP1
SS,05230,DP1
SS,10691,DPZ
SS,14753,DP2
SS,09629,DPZ
SS,09410,DP1
SS,10891,DPZ
SS,17613,DP2
SS,17859,DP2
SS,17442,DP2
SS,10454,DPZ
SS,15350,DPZ
SS,17723,DPZ
SS,05230,DP1
SS,10275,DP2
SS,10778,DP1
SS,18463,DPZ
SS,20193,DP1
SS,09332,DP2
SS,17940,DPZ
SS,16980,DPZ
SS,14648,DP2
SS,17373,DPZ
SS,10330,DP2
SS,10857,DP2
SS,14564,DP1
SS,10359,DPZ
SS,17544,DPZ
SS,17858,DPZ
SS,05038,DP1
SS,15884,DP1
SS,17455,DP2
SS,17952,DP1
SS,10706,DPZ
SS,05338,DP1
SS,10913,DP1
SS,04973,DP2
SS,09529,DPZ
SS,18895,DP1
SS,09637,DP1
SS,10706,DP2
SS,10277,DP1
SS,18272,DP1
SS,10199,DPZ
SS,17853,DPZ
SS,10691,DP2
SS,10278,DP1
SS,10197,DPZ
SS,10524,DP1
SS,10524,DPZ
SS,10891,DP1
SS,18536,DP2
SS,14648,DPZ
SS,09268,DP1
SS,14411,DP2
SS,18843,DPZ
SS,10776,DP2
SS,17223,DP2
SS,10317,DP1
SS,16203,DP1
SS,14972,DPZ
SS,10891,DP1
SS,10898,DP2
SS,10922,DP2
SS,16980,DP2
SS,17724,DPZ
SS,03761,DP1
SS,16814,DP2
SS,10190,DP2
SS,17723,DPZ
SS,10706,DPZ
SS,14564,DP2
SS,09309,DPZ
SS,09654,DP1
SS,05322,DP1
SS,05322,DPZ
SS,17952,DP2
SS,17809,DP2
SS,10430,DP1
SS,10386,DPZ
SS,16870,DP2
SS,05283,DP2
SS,10737,DP1
SS,10737,DP1
SS,10901,DPZ
SS,10278,DPZ
SS,15350,DP2
SS,14605,DP2
SS,15604,DP2
SS,16798,DPZ
SS,10294,DPZ
SS,15678,DPZ
SS,10820,DP2
SS,10901,DP1
SS,18539,DPZ
SS,10916,DPZ
SS,09220,DPZ
SS,05441,DPZ
SS,15007,DP2
SS,14411,DP2
SS,18340,DP2
SS,14479,DP1
SS,20247,DP2
SS,06524,DP1
SS,10230,DP1
SS,15672,DPZ
SS,15907,DP2
SS,10721,DPZ
SS,17016,DPZ
SS,14565,DP1
SS,10190,DP2
SS,10586,DPZ
SS,14938,DP1
SS,14605,DPZ
SS,10586,DP2
